name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
atlanta,3/1/17,25.7,14.7,19.8,25.7,14.7,19.8,14.8,74.8,8,100,12.5,rain,0,0,63.2,30.1,221.6,1015,73.3,15.1,138.7,11.8,6,,2017-03-01T07:05:39,2017-03-01T18:34:25,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"KFTY,72219013874,KATL,72219503888,72219653863,KPDK"
atlanta,3/2/17,15.5,5.7,10.2,15.5,1.9,8.9,-3.2,40.6,0,0,0,,0,0,50,31.8,331.6,1022.6,24,16,245.3,21,8,,2017-03-02T07:04:25,2017-03-02T18:35:15,0.09,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KFTY,72219013874,KATL,72219503888,72219653863,KPDK"
atlanta,3/3/17,13.6,1.4,7.8,13.6,0.7,7.3,-6,41.1,0,0,0,,0,0,48.1,31.4,308,1031.9,4.9,16,248.2,21.5,9,,2017-03-03T07:03:10,2017-03-03T18:36:04,0.14,Clear,Clear conditions throughout the day.,clear-day,"KFTY,72219013874,KATL,72219503888,72219653863,KPDK"
atlanta,3/4/17,17.3,0.1,8.4,17.3,0.1,7.9,-6.6,37.7,0,0,0,,0,0,,11.1,96.7,1034.5,12.1,16,244.6,21.1,9,,2017-03-04T07:01:54,2017-03-04T18:36:54,0.19,Clear,Clear conditions throughout the day.,clear-day,"KFTY,72219013874,KATL,72219503888,72219653863,KPDK"
atlanta,3/5/17,19.4,3.1,12.2,19.4,3.1,12.1,-1.2,43.3,0,0,0,,0,0,,15.1,106.4,1031.2,31.4,16,169.1,14.6,6,,2017-03-05T07:00:38,2017-03-05T18:37:43,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KFTY,72219013874,KATL,72219503888,72219653863,KPDK"
atlanta,3/6/17,20.9,12.9,16.9,20.9,12.9,16.9,6.7,52.3,0,0,0,,0,0,38.5,23,156.5,1027.7,65.4,16,218.3,18.8,8,,2017-03-06T06:59:21,2017-03-06T18:38:31,0.31,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KFTY,72219013874,KATL,72219503888,72219653863,KPDK"
atlanta,3/7/17,20.5,13.2,16.1,20.5,13.2,16.1,10.8,72.3,10.89,100,33.33,rain,0,0,55.4,25.5,187.8,1024.1,61.1,14.6,125.3,10.8,5,,2017-03-07T06:58:04,2017-03-07T18:39:20,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KFTY,72219013874,KATL,72219503888,72219653863,KPDK"
atlanta,3/8/17,20.4,10,15,20.4,8.3,14.9,1.7,49,1.94,100,16.67,rain,0,0,42.4,23.6,272.6,1025.2,32.8,15.9,262.2,22.8,9,,2017-03-08T06:56:46,2017-03-08T18:40:08,0.41,"Rain, Partially cloudy",Clearing in the afternoon with rain clearing later.,rain,"KFTY,72219013874,KATL,72219503888,72219653863,KPDK"
atlanta,3/9/17,24,3.9,14.4,24,3.9,14.4,0.2,44.1,0,0,0,,0,0,27.7,15.8,269,1023,8.7,16,253.3,21.9,9,,2017-03-09T06:55:28,2017-03-09T18:40:56,0.45,Clear,Clear conditions throughout the day.,clear-day,"KFTY,72219013874,KATL,72219503888,72219653863,KPDK"
atlanta,3/10/17,21.3,9.5,15.4,21.3,7.6,15.3,6.2,57.5,8.69,100,16.67,rain,0,0,65.2,34.4,298.5,1018.6,35,15.6,230.6,20.1,8,,2017-03-10T06:54:10,2017-03-10T18:41:43,0.48,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"KFTY,72219013874,KATL,72219503888,72219653863,KPDK"
