Date,Open,High,Low,Close,Adj Close,Volume
1/27/2016,71.459999,72.650002,69.419998,70.019997,64.744926,1507000
1/28/2016,69.830002,70.029999,67.230003,68.57,63.404148,1458400
1/29/2016,68.129997,70.400002,67.610001,70.400002,65.096298,1435700
2/1/2016,70.050003,70.940002,69.470001,70.290001,64.994598,1443800
2/2/2016,69.989998,70.290001,67.82,67.959999,62.840118,1049300
2/3/2016,68.300003,68.32,65.589996,67.269997,62.202099,1256900
2/4/2016,67.110001,69.169998,67.099998,68.910004,63.718559,1158500
2/5/2016,68.480003,69.050003,64.120003,64.559998,59.696266,1705600
2/8/2016,63.360001,64.349998,61.580002,63.060001,58.309261,1509600
2/9/2016,62.220001,66.150002,61.689999,65.629997,60.685646,1766800
2/10/2016,66.839996,67.93,66.209999,66.839996,61.804501,1387000
2/11/2016,65.860001,67.389999,65.43,66.940002,61.896965,1246300
2/12/2016,67.839996,68.75,66.160004,68.440002,63.283947,1193600
2/16/2016,68.900002,69.830002,68.190002,69.599998,64.35656,933600
2/17/2016,69.900002,71.949997,69.720001,71.769997,66.363106,1136000
2/18/2016,72,72.379997,70.93,72.32,66.871651,1547000
2/19/2016,71.470001,72.480003,71.32,72.339996,67.145462,1195300
2/22/2016,73.099998,73.699997,71.800003,72.389999,67.191879,1193400
2/23/2016,72.099998,73.029999,71.589996,72.739998,67.516739,905600
2/24/2016,72.32,73.699997,71.059998,73.599998,68.31498,1026900
2/25/2016,73.68,75,73.209999,74.910004,69.530937,998500
2/26/2016,75,75.510002,73.620003,74.57,69.215332,968400
2/29/2016,74.089996,74.57,73.849998,73.900002,68.593452,1033700
3/1/2016,74.199997,77.099998,73.959999,77.07,71.53582,1364700
3/2/2016,76.650002,77.639999,76,77.260002,71.712181,1069900
3/3/2016,77.07,78.489998,76.730003,78.25,72.631081,1098500
3/4/2016,78.449997,78.449997,76.800003,77.669998,72.092728,1106700
3/7/2016,77.050003,77.769997,76.18,77.199997,71.656479,1124200
3/8/2016,76.040001,77.360001,75.080002,76.400002,70.91394,1543100
3/9/2016,76.970001,78.019997,76.059998,77.32,71.767868,822200
3/10/2016,77.389999,77.809998,75.150002,76.389999,70.904648,1171700
3/11/2016,77.830002,80.779999,77.620003,80.769997,74.970123,1735300
3/14/2016,80.239998,80.699997,79.199997,79.790001,74.060516,1232600
3/15/2016,79.400002,80.080002,79.089996,79.989998,74.246147,793900
3/16/2016,79.5,80.709999,79.419998,80.529999,74.747375,846400
3/17/2016,80.419998,81.449997,80.089996,80.980003,75.165062,1109300
3/18/2016,80.699997,83,80.550003,82.029999,76.139648,1966300
3/21/2016,82.279999,82.589996,81.910004,82.260002,76.353127,1098300
3/22/2016,81.199997,82.480003,81.029999,82.029999,76.139648,694000
3/23/2016,81.800003,82.040001,80.559998,81.120003,75.295006,1279200
3/24/2016,80.470001,80.589996,79.419998,80.589996,74.803055,1159700
3/28/2016,80.519997,82.900002,80.040001,81.489998,75.638435,1267900
3/29/2016,81.540001,82.730003,81.18,82.349998,76.436676,1196400
3/30/2016,82.589996,83,82,82.330002,76.418114,985800
3/31/2016,82.389999,83.089996,81.809998,82.019997,76.130356,1102400
4/1/2016,81.260002,82.080002,80.43,82.010002,76.121086,1021400
4/4/2016,78.220001,78.980003,77.010002,78.919998,73.252975,6457100
4/5/2016,78.389999,81.470001,78.25,79.68,73.958405,2760900
4/6/2016,79.959999,80.099998,78.290001,79.639999,73.921265,1659300
4/7/2016,79.449997,79.660004,77.690002,78.279999,72.658913,1481100
4/8/2016,78.709999,79.449997,78.160004,79.080002,73.401505,910900
4/11/2016,79.779999,80.449997,78.470001,78.480003,72.844582,1423100
4/12/2016,78.879997,79.889999,78.75,79.25,73.55928,977500
4/13/2016,80.029999,82,79.730003,81.870003,75.991142,1118500
4/14/2016,82.139999,83.260002,81.82,81.860001,75.981865,1153200
4/15/2016,81.849998,82.550003,81.330002,82.379997,76.464531,1103900
4/18/2016,82.510002,82.75,81,82.239998,76.334572,970400
4/19/2016,82.360001,82.720001,81.339996,82.120003,76.22319,932200
4/20/2016,82.099998,82.68,81.529999,81.599998,75.740532,1206800
4/21/2016,81.43,82.089996,78.790001,79.379997,73.679947,1503900
4/22/2016,77.699997,78.209999,75.730003,76.809998,71.294495,2540600
4/25/2016,76.669998,77.209999,74.400002,74.449997,69.103958,2335200
4/26/2016,74.57,75.480003,73.080002,74.349998,69.011147,1803100
4/27/2016,74.239998,75.089996,73.529999,73.580002,68.296432,1357700
4/28/2016,73.5,73.580002,71.830002,72.010002,66.839165,1032700
4/29/2016,71.559998,71.639999,70.120003,70.43,65.372627,2065600
5/2/2016,70.559998,71,70.279999,70.529999,65.465454,1100200
5/3/2016,70.5,70.900002,69.599998,70.410004,65.354065,1408800
5/4/2016,69.68,69.889999,68.900002,69.099998,64.138123,1263100
5/5/2016,69.089996,70.169998,68.940002,69.139999,64.175262,1249000
5/6/2016,68.68,69.019997,67.199997,68.510002,63.590492,1190400
5/9/2016,68.970001,69.800003,68.760002,68.800003,63.859665,1278600
5/10/2016,69.309998,69.870003,68.800003,69.330002,64.351616,935700
5/11/2016,68.699997,69.419998,67.410004,67.599998,62.745831,3733300
5/12/2016,68.029999,68.139999,65.120003,65.57,60.86161,27347100
5/13/2016,65.720001,67.139999,65.5,66.260002,61.502045,2238100
5/16/2016,66.610001,67.199997,65.269997,66.309998,61.548462,2451200
5/17/2016,66.389999,67.279999,65.099998,65.440002,60.740932,2756600
5/18/2016,65.489998,67.489998,65.300003,66.419998,61.650555,1734600
5/19/2016,66.059998,66.580002,64.43,65.389999,60.694527,1737400
5/20/2016,65.650002,66.269997,65.07,65.209999,60.783081,1131800
5/23/2016,65.540001,66.040001,65.18,65.339996,60.904251,1269800
5/24/2016,65.839996,67,65.790001,66.870003,62.330387,1724300
5/25/2016,66.849998,68,66.730003,66.910004,62.367676,1413800
5/26/2016,66.769997,67.07,65.620003,66.139999,61.649933,1347000
5/27/2016,66.290001,67.089996,66.160004,66.82,62.283772,1086700
5/31/2016,66.639999,66.82,65.559998,66.400002,61.892292,1329700
6/1/2016,66.400002,66.400002,65.699997,65.959999,61.482159,1859700
6/2/2016,65.589996,66.510002,65.510002,65.940002,61.463524,1296100
6/3/2016,65.900002,65.959999,64.269997,65.080002,60.661911,1672800
6/6/2016,65,65.25,64.230003,65.209999,60.783081,1453500
6/7/2016,65,66.790001,65,66.330002,61.827042,1813200
6/8/2016,66.309998,67.43,66.059998,66.389999,61.882969,1553300
6/9/2016,66.389999,67.949997,66.389999,67.5,62.917614,2062500
6/10/2016,66.900002,67.510002,66.339996,66.919998,62.376999,1117800
6/13/2016,66.309998,66.480003,64.220001,64.290001,59.925541,1481900
6/14/2016,63.91,64.260002,61,61.52,57.343586,2078500
6/15/2016,61.619999,63.209999,60.970001,61.16,57.008022,2381200
6/16/2016,60.740002,61.18,60.029999,60.369999,56.271656,1750200
6/17/2016,60.310001,60.650002,59.48,59.880001,55.814919,2438000
6/20/2016,60.529999,60.700001,59.32,59.48,55.442074,1786800
6/21/2016,60.110001,61.43,59.790001,60.459999,56.355541,1842700
6/22/2016,60.459999,61.080002,59.599998,59.68,55.62849,1331300
6/23/2016,60.349998,60.470001,58.740002,59.139999,55.125145,1764500
6/24/2016,57.02,58.240002,56.290001,56.490002,52.655056,3622400
6/27/2016,55.549999,55.900002,54.509998,55.66,51.881405,3100800
6/28/2016,56.549999,56.919998,55.330002,56.709999,52.860115,1969300
6/29/2016,57.139999,58.07,56.880001,57.689999,53.77359,1878600
6/30/2016,57.950001,58.290001,57.299999,58.290001,54.332859,1792100
7/1/2016,58.240002,59.060001,58.049999,58.740002,54.752308,1421500
7/5/2016,58.560001,58.75,57.610001,58.630001,54.64978,1352300
7/6/2016,57.869999,58.59,56.450001,58.540001,54.565887,2203500
7/7/2016,58.369999,59.939999,58.310001,59.470001,55.432747,1228500
7/8/2016,59.720001,60.540001,59.720001,59.860001,55.796268,2276400
7/11/2016,60.169998,60.73,59.900002,60.16,56.075909,1519400
7/12/2016,61.27,63.450001,61.189999,63.25,58.956139,2451400
7/13/2016,63.84,64,62.709999,63.169998,58.881573,1772100
7/14/2016,63.709999,64.889999,63.290001,64.860001,60.456841,2132100
7/15/2016,64.669998,65.190002,64.209999,65.040001,60.624622,2810000
7/18/2016,64.919998,65.449997,64.18,64.239998,59.878929,1430600
7/19/2016,63.84,64.110001,63.16,63.869999,59.534035,1253200
7/20/2016,64.029999,64.209999,63.23,63.490002,59.179844,1918300
7/21/2016,62.950001,65.529999,61.610001,64.709999,60.31702,2829200
7/22/2016,65.169998,65.550003,64.300003,64.599998,60.214489,1784800
7/25/2016,65.650002,66.150002,65.010002,65.400002,60.960186,1580600
7/26/2016,65.660004,66.580002,64.889999,66.529999,62.013462,1535100
7/27/2016,67.800003,68.010002,67.010002,67.870003,63.262497,2404700
7/28/2016,67.699997,68.550003,67.470001,68.459999,63.812439,1845900
7/29/2016,68.440002,68.849998,67.169998,67.220001,62.656639,2003100
8/1/2016,67.349998,67.68,66.650002,67.650002,63.057438,1317600
8/2/2016,67.230003,67.360001,64.669998,64.889999,60.484802,2138800
8/3/2016,64.650002,65.57,64.5,65.099998,60.68055,1055400
8/4/2016,65.139999,65.309998,64.510002,65.099998,60.68055,915600
8/5/2016,65.559998,66.410004,65.400002,66.230003,61.733829,962200
8/8/2016,66.099998,66.360001,65.529999,65.860001,61.388947,941000
8/9/2016,66.160004,66.360001,64.93,64.989998,60.578007,1032100
8/10/2016,64.959999,65.059998,64.25,64.839996,60.438187,958000
8/11/2016,65.529999,66.610001,65.470001,66.110001,61.62199,1269700
8/12/2016,65.889999,66.239998,65.330002,65.379997,60.941536,577400
8/15/2016,65.540001,66.459999,65.050003,66.120003,61.631298,814600
8/16/2016,65.690002,66.400002,65.360001,66,61.776379,819500
8/17/2016,65.970001,67.370003,65.779999,67.349998,63.039989,1514200
8/18/2016,67.199997,67.910004,66.730003,67.699997,63.367588,2154300
8/19/2016,67.290001,67.720001,66.699997,67.07,62.777908,1094600
8/22/2016,66.800003,67.07,66.360001,66.860001,62.58136,789200
8/23/2016,67.139999,67.879997,66.949997,67.349998,63.039989,839500
8/24/2016,67.18,68.300003,67.18,67.919998,63.573517,840800
8/25/2016,67.720001,68.480003,67.68,68.339996,63.966633,1027200
8/26/2016,68.190002,68.330002,67.010002,67.269997,62.965107,956700
8/29/2016,67.309998,67.620003,66.959999,67.040001,62.749836,901300
8/30/2016,67.120003,68.330002,66.730003,67.550003,63.227188,1461600
8/31/2016,67.43,67.860001,66.5,67.529999,63.208458,1122900
9/1/2016,67.809998,68.440002,67.080002,67.260002,62.955742,915900
9/2/2016,67.260002,68.25,67.260002,68.209999,63.844944,692600
9/6/2016,68.25,69.010002,68.019997,69,64.584396,1030000
9/7/2016,69.279999,71.300003,69.269997,71.029999,66.484489,1738800
9/8/2016,70.860001,71.629997,70.779999,71.32,66.75592,1437900
9/9/2016,70.959999,71.089996,68.860001,68.860001,64.453339,1359300
9/12/2016,68.349998,70,67.690002,69.790001,65.32386,1170800
9/13/2016,69.57,70.290001,68.150002,68.32,63.94791,1381500
9/14/2016,68.25,68.440002,66.529999,66.650002,62.384781,1305500
9/15/2016,66.580002,67.400002,65.959999,66.809998,62.534546,1184700
9/16/2016,66.559998,66.870003,65.629997,65.699997,61.495583,1140400
9/19/2016,65.800003,66.57,65.559998,65.690002,61.486225,1231800
9/20/2016,65.900002,66.269997,65.489998,65.5,61.308384,551100
9/21/2016,65.830002,66.910004,65.25,66.699997,62.431591,1320900
9/22/2016,67.050003,67.980003,65.580002,66.040001,61.81382,2125700
9/23/2016,65.730003,66.629997,65.360001,65.769997,61.561096,2330700
9/26/2016,65.620003,65.690002,64.190002,64.599998,60.465973,1410300
