name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Dallas,2/19/17,24.7,15.7,20.2,24.7,15.7,20.2,16.8,80.9,0.0,0,0.0,,0.0,0.0,47.9,35.4,133.2,1010.6,68.1,11.0,132.4,11.3,5,,2017-02-19T07:05:53,2017-02-19T18:16:27,0.79,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDAL,72259903971,72258013960"
Dallas,2/20/17,21.2,14.2,16.2,21.2,14.2,16.2,13.7,85.3,24.89,100,29.17,rain,0.0,0.0,62.1,33.5,185.5,1012.7,61.9,14.4,91.8,8.0,4,,2017-02-20T07:04:49,2017-02-20T18:17:19,0.83,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"KDAL,72259903971,72258013960"
Dallas,2/21/17,24.2,11.2,17.0,24.2,11.2,17.0,9.1,64.7,0.0,0,0.0,,0.0,0.0,42.5,25.5,291.8,1013.2,14.6,14.9,224.7,19.5,8,,2017-02-21T07:03:44,2017-02-21T18:18:09,0.88,Clear,Clear conditions throughout the day.,clear-day,"KDAL,72259903971,72258013960"
Dallas,2/22/17,28.2,9.0,19.0,27.0,9.0,18.8,6.8,49.9,0.0,0,0.0,,0.0,0.0,35.3,22.4,194.5,1009.9,11.5,16.0,230.1,20.1,8,,2017-02-22T07:02:38,2017-02-22T18:19:00,0.92,Clear,Clear conditions throughout the day.,clear-day,"KDAL,72259903971,72258013960"
Dallas,2/23/17,30.5,13.2,22.5,28.9,13.2,22.1,9.2,46.0,0.0,0,0.0,,0.0,0.0,60.2,39.1,161.3,1001.2,7.6,16.0,226.4,19.5,8,,2017-02-23T07:01:31,2017-02-23T18:19:50,0.95,Clear,Clear conditions throughout the day.,clear-day,"KDAL,72259903971,72258013960"
Dallas,2/24/17,21.9,9.9,14.8,21.9,6.3,14.6,4.5,52.6,0.0,0,0.0,,0.0,0.0,47.9,33.1,271.8,1009.2,14.9,16.0,236.5,20.5,8,,2017-02-24T07:00:23,2017-02-24T18:20:40,0.98,Clear,Clear conditions throughout the day.,clear-day,"KDAL,72259903971,72258013960"
Dallas,2/25/17,12.7,2.7,7.8,12.7,-0.4,6.0,-5.1,41.5,0.0,0,0.0,,0.0,0.0,40.7,30.4,84.9,1021.2,10.0,16.0,239.5,20.6,8,,2017-02-25T06:59:14,2017-02-25T18:21:29,1.0,Clear,Clear conditions throughout the day.,clear-day,"KDAL,72259903971,72258013960"
Dallas,2/26/17,16.9,6.0,12.1,16.9,2.6,11.0,4.7,60.7,0.0,0,0.0,,0.0,0.0,46.1,30.3,140.5,1014.2,68.9,16.0,158.2,13.5,6,,2017-02-26T06:58:05,2017-02-26T18:22:18,1.0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDAL,72259903971,72258013960"
Dallas,2/27/17,26.7,15.4,20.7,27.4,15.4,20.7,15.7,74.5,0.23,100,4.17,rain,0.0,0.0,38.9,26.5,159.1,1012.2,76.4,14.5,122.1,10.6,5,,2017-02-27T06:56:55,2017-02-27T18:23:07,0.0,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"KDAL,72259903971,72258013960"
Dallas,2/28/17,27.9,20.0,23.7,28.5,20.0,23.8,18.1,71.8,0.0,0,0.0,,0.0,0.0,38.9,23.0,188.8,1010.1,77.2,11.4,92.2,8.0,3,,2017-02-28T06:55:44,2017-02-28T18:23:55,0.02,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDAL,72259903971,72258013960"
Dallas,3/1/17,22.7,9.3,16.8,22.7,7.9,16.8,-0.8,36.5,0.0,0,0.0,,0.0,0.0,53.6,37.5,266.4,1019.2,25.6,15.5,244.5,21.2,9,,2017-03-01T06:54:33,2017-03-01T18:24:43,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDAL,72259903971,72258013960"
Dallas,3/2/17,19.2,5.0,12.5,19.2,4.2,12.2,-6.6,29.1,0.0,0,0.0,,0.0,0.0,,15.4,134.6,1029.5,39.9,16.0,250.6,21.6,9,,2017-03-02T06:53:21,2017-03-02T18:25:31,0.09,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDAL,72259903971,72258013960"
Dallas,3/3/17,21.5,6.6,14.5,21.5,6.6,14.4,-2.9,33.8,0.0,0,0.0,,0.0,0.0,33.5,21.9,158.7,1031.6,50.7,16.0,248.9,21.5,9,,2017-03-03T06:52:08,2017-03-03T18:26:18,0.14,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDAL,72259903971,72258013960"
Dallas,3/4/17,15.5,11.5,13.3,15.5,11.5,13.3,4.8,58.6,0.78,100,12.5,rain,0.0,0.0,47.9,33.4,157.7,1027.5,76.5,15.8,58.6,5.2,2,,2017-03-04T06:50:55,2017-03-04T18:27:05,0.19,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"KDAL,72259903971,72258013960"
